,title,year,advisory,movie_length,genre,rating,metascore,description,votes
295,282.High School Musical 3: Senior Year(2008),(2008),G,112 min,"Comedy, Drama, Family",4.9,"57        
        Metascore","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future.","Votes:
63,186
| Gross:
$90.56M"
296,283.Sweet Charity(1969),(1969),G,149 min,"Comedy, Drama, Music",6.9,"53        
        Metascore","Taxi dancer Charity continues to have Faith despite endless disappointments at its hands, and Hope that she will finally meet the man to romance her away from her sleazy life. Maybe, just maybe, handsome Oscar will be the one to do it.","Votes:
6,028
| Gross:
$3.43M"
297,284.Her Smell(2018),(2018),R,136 min,"Drama, Music",6.0,"69        
        Metascore",A self-destructive punk rocker struggles with sobriety while trying to recapture the creative inspiration that led her band to success.,"Votes:
7,446
| Gross:
$0.26M"
298,285.Love & Mercy(2014),(2014),PG-13,121 min,"Biography, Drama, Music",7.4,"80        
        Metascore","In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene Landy.","Votes:
39,892
| Gross:
$12.55M"
299,288.Raise Your Voice(2004),(2004),PG,103 min,"Family, Music, Musical",5.8,"33        
        Metascore",A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.,"Votes:
28,077
| Gross:
$10.41M"
300,291.I Can Only Imagine(2018),(2018),PG,110 min,"Biography, Drama, Family",7.3,"30        
        Metascore","The inspiring and unknown true story behind MercyMe's beloved, chart topping song that brings ultimate hope to so many is a gripping reminder of the power of true forgiveness.","Votes:
16,416
| Gross:
$83.48M"
301,293.Phantom of the Opera(1943),(1943),Approved,92 min,"Drama, Horror, Music",6.4,"63        
        Metascore",An acid-scarred composer rises from the Paris sewers to boost his favorite opera understudy's career.,"Votes:
7,406
| Gross:
$3.49M"
302,294.Florence Foster Jenkins(2016),(2016),PG-13,111 min,"Biography, Comedy, Drama",6.8,"71        
        Metascore","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.","Votes:
56,423
| Gross:
$27.37M"
303,299.Hustle & Flow(2005),(2005),R,116 min,"Crime, Drama, Music",7.3,"68        
        Metascore","With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.","Votes:
40,959
| Gross:
$22.20M"
304,251.Guys and Dolls(1955),(1955),Not Rated,150 min,"Comedy, Crime, Musical",7.1,"77        
        Metascore","In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game.","Votes:
17,880
| Gross:
$13.00M"
305,252.Gnomeo & Juliet(2011),(2011),G,84 min,"Animation, Adventure, Comedy",5.9,"53        
        Metascore","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","Votes:
56,281
| Gross:
$99.97M"
306,253.Home on the Range(2004),(2004),PG,76 min,"Animation, Adventure, Comedy",5.3,"50        
        Metascore","To save their farm, the resident animals go bounty hunting for a notorious outlaw.","Votes:
23,443
| Gross:
$50.03M"
307,255.My Little Pony: The Movie(2017),(2017),PG,99 min,"Animation, Adventure, Comedy",6.0,"39        
        Metascore","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.","Votes:
7,165
| Gross:
$21.89M"
308,256.Valley Girl(2020),(2020),PG-13,102 min,"Comedy, Musical, Romance",5.5,"53        
        Metascore","A pair of young lovers from different backgrounds defy their parents and friends to stay together, set to a New Wave '80s soundtrack. A musical adaptation of the 1983 film.","Votes:
3,776"
309,259.Bugsy Malone(1976),(1976),G,93 min,"Comedy, Crime, Family",6.8,"71        
        Metascore",The classic gangster story of Bugsy Malone told with an all-child cast.,"Votes:
18,091
| Gross:
$2.78M"
310,260.Jesus Christ Superstar(1973),(1973),G,106 min,"Drama, History, Musical",7.3,"64        
        Metascore","Film version of the musical stage play, presenting the last few weeks of Christ's life told in an anachronistic manner.","Votes:
27,398
| Gross:
$24.48M"
